牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
animals,動物類,◇,狗狗,忠誠、嗅覺敏銳，能找路也能安撫人心，只是遇到噪音可能先激動。,,,普通,
animals,動物類,◇,貓貓,安靜、靈活、擅長鑽入狹小空間，可惜牠不一定願意聽你的。,,,普通,
animals,動物類,◇,熊貓,外表無害、能吸引注意，是談判與宣傳奇兵，但行動效率偏低。,,,普通,
animals,動物類,◇,大象,力量巨大、記憶力好，能搬運障礙物，只是食量驚人。,,,普通,
animals,動物類,◇,老鷹,視野遼闊，能偵查遠方動靜，但不適合室內任務。,,,普通,
animals,動物類,◇,章魚,多手多工、善於解謎和偽裝，離水太久就是大問題。,,,普通,
animals,動物類,◇,蜜蜂,能建立集體秩序，也能製造資源，但需要被小心保護。,,,普通,
animals,動物類,◇,駱駝,耐旱耐走，長途移動可靠，速度不是它的強項。,,,普通,
animals,動物類,◇,海豚,聰明、善溝通，適合水域任務，但離開水就難以發揮。,,,普通,
animals,動物類,◇,烏龜,防禦力高、壽命長，很適合守護秘密，只是節奏慢。,,,普通,
animals,動物類,◇,狼,團隊合作與追蹤能力強，但容易引發恐懼。,,,普通,
animals,動物類,◇,企鵝,抗寒能力強，擅長群體行動，可惜在熱帶環境很吃虧。,,,普通,
animals,動物類,◇,馬,移動速度快，可載人載物，但需要照料與空間。,,,普通,
animals,動物類,◇,松鼠,敏捷、會儲藏資源，適合搜集補給，但容易分心。,,,普通,
animals,動物類,◇,貓頭鷹,夜間觀察力強，適合守夜與偵察，但白天精神有限。,,,普通,
animals,動物類,◇,袋鼠,跳躍力強，能快速穿越障礙，手部操作較不靈活。,,,普通,
items,物品類,□,鐵錘,沉重可靠，能破壞門鎖、固定木板，也可能因為太吵引來危險。,,,普通,
items,物品類,□,手槍,精準有效，只可惜你只有 7 發子彈，每一次開火都要說得出代價。,,,普通,
items,物品類,□,網子,能捕捉、阻擋、拖曳，也能做臨時吊床，但怕刀割與火燒。,,,普通,
items,物品類,□,水壺,保存飲水，是長期生存的核心，只是不能自己生出水。,,,普通,
items,物品類,□,手電筒,黑暗中的眼睛，也能發出求救訊號，但電池有限。,,,普通,
items,物品類,□,繩索,攀爬、固定、救援都能用，前提是你會打結。,,,普通,
items,物品類,□,急救包,處理傷口與感染風險，是隊伍續命工具，但內容物會耗盡。,,,普通,
items,物品類,□,指南針,不需電力就能辨別方向，但它不會告訴你哪條路安全。,,,普通,
items,物品類,□,打火機,能生火、消毒、嚇阻，也可能暴露位置或引發火災。,,,普通,
items,物品類,□,太陽能充電板,替通訊設備續命，晴天很好用，陰雨天就尷尬。,,,普通,
items,物品類,□,平底鍋,能煮食也能防身，聲音響亮到很有存在感。,,,普通,
items,物品類,□,收音機,接收外界資訊與求救頻道，但訊號可能斷斷續續。,,,普通,
items,物品類,□,濾水器,把髒水變成可飲用資源，是長期生存神器，但濾芯有限。,,,普通,
items,物品類,□,地圖,提供大方向與地形資訊，但如果環境改變就需要重新判斷。,,,普通,
items,物品類,□,雨衣,擋雨保暖，也能收集雨水，但防護能力有限。,,,普通,
items,物品類,□,望遠鏡,能先看見危險與機會，但看見不代表能抵達。,,,普通,
items,物品類,□,瑞士刀,小型多功能工具，能切、撬、修，只是每項能力都不是最強。,,,普通,
items,物品類,□,罐頭,立即補充熱量，保存期長，但吃完就只剩空罐。,,,普通,
items,物品類,□,膠帶,修補、固定、封口都能做，是臨時解法之王。,,,普通,
items,物品類,□,防毒面具,面對煙霧或未知氣體很珍貴，但濾罐壽命有限。,,,普通,
items,物品類,□,擴音器,能指揮群眾或製造聲東擊西，但也會暴露位置。,,,普通,
items,物品類,□,雨傘,遮雨、遮陽、當簡易盾牌，面對強風就不太可靠。,,,普通,
items,物品類,□,鏟子,能挖掘、築壕、防身，缺點是笨重。,,,普通,
items,物品類,□,筆記本,記錄線索、分配任務、保存證據，但怕水怕火。,,,普通,
items,物品類,□,哨子,低成本求救工具，聲音穿透力強，但不能亂吹。,,,普通,
items,物品類,□,保溫毯,輕巧保暖，也能反光求救，但很容易破。,,,普通,
items,物品類,□,釣魚線,能釣魚、綁線、設陷阱，但需要耐心與技巧。,,,普通,
items,物品類,□,安全帽,保護頭部，適合穿越倒塌建築，但保護範圍有限。,,,普通,
items,物品類,□,酒精,消毒、助燃、交換資源都可用，但保存不慎會危險。,,,普通,
items,物品類,□,鏡子,反光求救、觀察轉角，也能製造心理壓力。,,,普通,
items,物品類,□,行動電源,讓手機多活一段時間，但電量終究會歸零。,,,普通,
items,物品類,□,睡袋,保暖與休息品質提高，但佔空間。,,,普通,
items,物品類,□,防水袋,保護重要物資，不能直接解決危機但能降低損失。,,,普通,
items,物品類,□,撬棍,開門、拆箱、防身都實用，但看起來很有攻擊性。,,,普通,
