牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤
needs,需求卡,◇,懶惰,想少花力氣、少做步驟、把麻煩交給工具或服務處理。,🛋️,🛋️,,A,心理|便利|動機
needs,需求卡,◇,競技,想贏過別人、證明實力、在比較中獲得刺激與成就感。,🏆,🏆,,A,競爭|成就|遊戲
needs,需求卡,◇,歸屬,想被接納、加入群體、感覺自己不是孤單一個人。,🤝,🤝,,A,關係|群體|情感
needs,需求卡,◇,榮譽,想被尊重、被看見、被承認自己做了一件值得驕傲的事。,🎖️,🎖️,,A,尊重|地位|成就
needs,需求卡,◇,紀念,想保存一段經驗、關係或重要時刻，讓它未來還能被想起。,📷,📷,,A,記憶|情感|收藏
needs,需求卡,◇,擁有,想把某樣東西變成自己的，透過所有權得到安心或滿足。,🔑,🔑,,A,所有權|安全|慾望
needs,需求卡,◇,安全,想降低風險、避免損失、讓自己或重要的人不受傷害。,🛡️,🛡️,,A,風險|保護|安心
needs,需求卡,◇,便利,想讓生活更快、更簡單、更少等待，最好不用重新學太多東西。,⚡,⚡,,A,效率|生活|工具
needs,需求卡,◇,美感,想讓物品、空間或自己看起來更好，並從好看中得到愉悅。,✨,✨,,B,審美|設計|愉悅
needs,需求卡,◇,陪伴,想有人或某物能待在身邊，降低孤單感並提供情緒支持。,💬,💬,,B,情感|關係|支持
needs,需求卡,◇,成長,想變得更厲害、更成熟，或看見自己持續進步的證據。,🌱,🌱,,A,學習|進步|自我
needs,需求卡,◇,探索,想接觸未知、打開新經驗，滿足好奇心與冒險感。,🧭,🧭,,B,好奇|冒險|未知
needs,需求卡,◇,控制,想掌握局面、減少不確定，讓事情按照自己的計畫前進。,🎛️,🎛️,,B,秩序|掌控|計畫
needs,需求卡,◇,表達,想把自己的想法、風格、立場或情緒讓別人看見。,🎤,🎤,,B,自我|溝通|風格
needs,需求卡,◇,省錢,想用更低成本得到結果，或避免未來多花不必要的錢。,💰,💰,,B,價格|成本|理性
needs,需求卡,◇,效率,想在同樣時間內完成更多事，減少浪費與重複勞動。,⏱️,⏱️,,A,時間|生產力|速度
needs,需求卡,◇,身分,想透過選擇、物品或行為說明自己是怎樣的人。,🪪,🪪,,B,認同|社會|形象
needs,需求卡,◇,放鬆,想暫時卸下壓力，讓身體或心理從緊繃中恢復。,🌙,🌙,,B,休息|療癒|壓力
needs,需求卡,◇,驚喜,想獲得意料之外的新鮮感，讓平凡經驗變得值得記住。,🎁,🎁,,C,新奇|情緒|體驗
needs,需求卡,◇,公平,想讓付出與回報合理，避免有人被佔便宜或被不當對待。,⚖️,⚖️,,A,正義|規則|社會
