牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,圖片,稀有度,標籤
items,物品卡,□,鐵錘,沉重可靠，能破壞門鎖、固定木板，也可能因為太吵引來危險。,item_hammer,,A,
items,物品卡,□,手槍,精準有效，只可惜你只有 7 發子彈，每一次開火都要說得出代價。,,,A,
items,物品卡,□,網子,能捕捉、阻擋、拖曳，也能做臨時吊床，但怕刀割與火燒。,,,A,
items,物品卡,□,水壺,保存飲水，是長期生存的核心，只是不能自己生出水。,item_water_bottle,,A,
items,物品卡,□,手電筒,黑暗中的眼睛，也能發出求救訊號，但電池有限。,item_flashlight,,A,
items,物品卡,□,繩索,攀爬、固定、救援都能用，前提是你會打結。,item_rope,,A,
items,物品卡,□,急救包,處理傷口與感染風險，是隊伍續命工具，但內容物會耗盡。,item_first_aid_kit,,A,
items,物品卡,□,指南針,不需電力就能辨別方向，但它不會告訴你哪條路安全。,,,A,
items,物品卡,□,打火機,能生火、消毒、嚇阻，也可能暴露位置或引發火災。,,,A,
items,物品卡,□,太陽能充電板,替通訊設備續命，晴天很好用，陰雨天就尷尬。,,,B,
items,物品卡,□,平底鍋,能煮食也能防身，聲音響亮到很有存在感。,,,A,
items,物品卡,□,收音機,接收外界資訊與求救頻道，但訊號可能斷斷續續。,,,A,
items,物品卡,□,濾水器,把髒水變成可飲用資源，是長期生存神器，但濾芯有限。,,,A,
items,物品卡,□,地圖,提供大方向與地形資訊，但如果環境改變就需要重新判斷。,,,B,
items,物品卡,□,雨衣,擋雨保暖，也能收集雨水，但防護能力有限。,,,B,
items,物品卡,□,望遠鏡,能先看見危險與機會，但看見不代表能抵達。,,,B,
items,物品卡,□,瑞士刀,小型多功能工具，能切、撬、修，只是每項能力都不是最強。,,,A,
items,物品卡,□,罐頭,立即補充熱量，保存期長，但吃完就只剩空罐。,,,A,
items,物品卡,□,膠帶,修補、固定、封口都能做，是臨時解法之王。,,,A,
items,物品卡,□,防毒面具,面對煙霧或未知氣體很珍貴，但濾罐壽命有限。,,,A,
items,物品卡,□,擴音器,能指揮群眾或製造聲東擊西，但也會暴露位置。,,,B,
items,物品卡,□,雨傘,遮雨、遮陽、當簡易盾牌，面對強風就不太可靠。,,,B,
items,物品卡,□,鏟子,能挖掘、築壕、防身，缺點是笨重。,,,A,
items,物品卡,□,筆記本,記錄線索、分配任務、保存證據，但怕水怕火。,,,B,
items,物品卡,□,哨子,低成本求救工具，聲音穿透力強，但不能亂吹。,,,B,
items,物品卡,□,保溫毯,輕巧保暖，也能反光求救，但很容易破。,,,A,
items,物品卡,□,釣魚線,能釣魚、綁線、設陷阱，但需要耐心與技巧。,,,B,
items,物品卡,□,安全帽,保護頭部，適合穿越倒塌建築，但保護範圍有限。,,,B,
items,物品卡,□,酒精,消毒、助燃、交換資源都可用，但保存不慎會危險。,,,A,
items,物品卡,□,鏡子,反光求救、觀察轉角，也能製造心理壓力。,,,B,
items,物品卡,□,行動電源,讓手機多活一段時間，但電量終究會歸零。,,,B,
items,物品卡,□,睡袋,保暖與休息品質提高，但佔空間。,,,A,
items,物品卡,□,防水袋,保護重要物資，不能直接解決危機但能降低損失。,,,B,
items,物品卡,□,撬棍,開門、拆箱、防身都實用，但看起來很有攻擊性。,,,A,
items,物品卡,□,蠟燭,照明與計時工具，不需電池，但怕風也怕水。,,,B,
items,物品卡,□,肥皂,清潔、降低感染、保持秩序，常被低估。,,,B,
items,物品卡,□,背包,讓資源能被帶走，但裝越多越拖慢速度。,,,A,
items,物品卡,□,縫衣針,修補衣物與裝備，也能處理細小操作。,,,B,
items,物品卡,□,鋁箔紙,保溫、反光、包裹食物，輕巧但脆弱。,,,B,
items,物品卡,□,口罩,阻隔灰塵與飛沫，有基本防護但不是萬能。,,,B,
items,物品卡,□,手套,保護雙手，讓人敢搬尖銳物，但會降低觸感。,,,B,
items,物品卡,□,小鏟子,比鏟子輕，適合細部挖掘，但力量有限。,,,B,
items,物品卡,□,保鮮膜,封存食物、包紮、隔水，創意用法很多。,,,B,
