牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤
concepts,概念卡,◇,孤獨,一個人面對世界，也可能因此更了解自己。,🚶,🚶,,概念,關係|信任|支持
concepts,概念卡,◇,團結,彼此理解、擁有一致的目標。,🫂,🫂,,概念,關係|信任|支持
concepts,概念卡,◇,正義,關於公平、權利與應得結果的抽象判準。,⚖️,⚖️,,概念,價值|社會|判斷
concepts,概念卡,◇,自律,能約束自己、持續行動，不只靠外在提醒。,🧭,🧭,,概念,習慣|意志|行動
concepts,概念卡,◇,溫柔,在力量與界線之中仍願意保護他人的態度。,🕯️,🕯️,,概念,情感|關係|態度
concepts,概念卡,◇,選擇,在多種可能之間承擔方向與後果。,↔️,↔️,,概念,判斷|自由|責任
concepts,概念卡,◇,失敗,目標沒有達成，但也暴露新的學習線索。,↯,↯,,概念,挫折|學習|反思
concepts,概念卡,◇,知識,被理解、整理、驗證後能幫助判斷的內容。,📘,📘,,概念,學習|理解|判斷
concepts,概念卡,◇,成長,能力、眼界或心態逐步變大的過程。,🌱,🌱,,概念,學習|改變|生命
concepts,概念卡,◇,俐落,清楚、乾淨、少浪費，讓事情順利完成。,✦,✦,,概念,效率|風格|清楚
concepts,概念卡,◇,信念,即使遇到壓力仍願意維持的核心相信。,◆,◆,,概念,價值|堅持|判斷
concepts,概念卡,◇,努力,願意投入時間與心力，讓結果有改變的行動。,🔥,🔥,,概念,行動|意志|成果
concepts,概念卡,◇,諒解,理解他人的處境，並重新調整評價與反應。,🤲,🤲,,概念,關係|同理|修復
concepts,概念卡,◇,藝術,用形式、感受與想像重新呈現世界。,🎨,🎨,,概念,創作|感受|表達
concepts,概念卡,◇,財富,可累積、交換或支配資源的能力。,💰,💰,,概念,資源|交換|權力
concepts,概念卡,◇,武器,能造成影響、保護自己或改變局勢的力量。,⚔️,⚔️,,概念,力量|防衛|改變
concepts,概念卡,◇,複雜,由多種因素交織而成，不能只用單一答案處理。,🧩,🧩,,概念,系統|問題|理解
concepts,概念卡,◇,熟練,經過練習後能穩定、快速且準確地完成。,🎯,🎯,,概念,技能|練習|穩定
concepts,概念卡,◇,幽默,用意外角度讓人放鬆、理解或重新看事情。,☺,☺,,概念,表達|情緒|角度
concepts,概念卡,◇,友情,在互相信任與支持中形成的關係。,🤝,🤝,,概念,關係|信任|支持
concepts,概念卡,◇,勇氣,知道有風險仍願意面對或行動。,🛡️,🛡️,,概念,風險|行動|意志
concepts,概念卡,◇,生活,日常選擇、關係與習慣組成的整體經驗。,🏠,🏠,,概念,日常|經驗|習慣
concepts,概念卡,◇,歡樂,讓人感到明亮、放鬆或想分享的情緒狀態。,☀️,☀️,,概念,情緒|分享|愉悅
concepts,概念卡,◇,精密,細節安排準確，誤差被控制到很小。,⚙️,⚙️,,概念,細節|準確|技術
concepts,概念卡,◇,運氣,非完全由自己控制，卻影響結果的偶然因素。,🎲,🎲,,概念,偶然|結果|不確定
concepts,概念卡,◇,競爭,在比較中爭取有限資源、位置或認可。,🏁,🏁,,概念,比較|成就|資源
concepts,概念卡,◇,愛,願意珍惜、照顧或承擔另一個人事物的重要情感。,❤️,❤️,,概念,情感|關係|價值
concepts,概念卡,◇,成功,目標被達成並被自己或他人承認為有價值的狀態。,🏆,🏆,,概念,成果|目標|認可
concepts,概念卡,◇,懶惰,想少花力氣、少做步驟、把麻煩交給工具或服務處理。,🛋️,🛋️,,需求,心理|便利|動機
concepts,概念卡,◇,競技,想贏過別人、證明實力、在比較中獲得刺激與成就感。,🏆,🏆,,需求,競爭|成就|遊戲
concepts,概念卡,◇,歸屬,想被接納、加入群體、感覺自己不是孤單一個人。,🤝,🤝,,需求,關係|群體|情感
concepts,概念卡,◇,榮譽,想被尊重、被看見、被承認自己做了一件值得驕傲的事。,🎖️,🎖️,,需求,尊重|地位|成就
concepts,概念卡,◇,紀念,想保存一段經驗、關係或重要時刻，讓它未來還能被想起。,📷,📷,,需求,記憶|情感|收藏
concepts,概念卡,◇,擁有,想把某樣東西變成自己的，透過所有權得到安心或滿足。,🔑,🔑,,需求,所有權|安全|慾望
concepts,概念卡,◇,安全,想降低風險、避免損失、讓自己或重要的人不受傷害。,🛡️,🛡️,,需求,風險|保護|安心
concepts,概念卡,◇,便利,想讓生活更快、更簡單、更少等待，最好不用重新學太多東西。,⚡,⚡,,需求,效率|生活|工具
concepts,概念卡,◇,美感,想讓物品、空間或自己看起來更好，並從好看中得到愉悅。,✨,✨,,需求,審美|設計|愉悅
concepts,概念卡,◇,陪伴,想有人或某物能待在身邊，降低孤單感並提供情緒支持。,💬,💬,,需求,情感|關係|支持
concepts,概念卡,◇,成長,想變得更厲害、更成熟，或看見自己持續進步的證據。,🌱,🌱,,需求,學習|進步|自我
concepts,概念卡,◇,探索,想接觸未知、打開新經驗，滿足好奇心與冒險感。,🧭,🧭,,需求,好奇|冒險|未知
concepts,概念卡,◇,控制,想掌握局面、減少不確定，讓事情按照自己的計畫前進。,🎛️,🎛️,,需求,秩序|掌控|計畫
concepts,概念卡,◇,表達,想把自己的想法、風格、立場或情緒讓別人看見。,🎤,🎤,,需求,自我|溝通|風格
concepts,概念卡,◇,省錢,想用更低成本得到結果，或避免未來多花不必要的錢。,💰,💰,,需求,價格|成本|理性
concepts,概念卡,◇,效率,想在同樣時間內完成更多事，減少浪費與重複勞動。,⏱️,⏱️,,需求,時間|生產力|速度
concepts,概念卡,◇,身分,想透過選擇、物品或行為說明自己是怎樣的人。,🪪,🪪,,需求,認同|社會|形象
concepts,概念卡,◇,放鬆,想暫時卸下壓力，讓身體或心理從緊繃中恢復。,🌙,🌙,,需求,休息|療癒|壓力
concepts,概念卡,◇,驚喜,想獲得意料之外的新鮮感，讓平凡經驗變得值得記住。,🎁,🎁,,需求,新奇|情緒|體驗
concepts,概念卡,◇,公平,想讓付出與回報合理，避免有人被佔便宜或被不當對待。,⚖️,⚖️,,需求,正義|規則|社會
concepts,概念卡,◇,成就,想完成困難目標，證明自己做得到，並獲得進步感或肯定。,🏅,🏅,,需求,成果|自我|肯定
