牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤,
locations,場地卡,⌖,舞台戲劇院,燈光、布景與後台通道交錯，適合表演、偽裝與臨場發揮，但觀眾與時間壓力會放大失誤。,location_stage_theater,,,A,場地,
locations,場地卡,⌖,工地,建材、機具與未完成結構很多，能找到大量臨時工具，但噪音、墜落與安全風險很高。,location_construction_site,,,A,場地,
locations,場地卡,⌖,潛水艇,空間狹窄、氧氣有限、艙室分明，團隊溝通與維修能力會直接影響生存。,location_submarine,,,A,場地,
locations,場地卡,⌖,飛機,高度、座位、行李與機組規則限制行動，任何混亂都必須在狹小通道中快速處理。,location_airplane,,,A,場地,
locations,場地卡,⌖,體育場,空間廣大、座位階梯多、出入口集中，適合群眾行動與追逐，也容易造成擁擠。,location_stadium,,,A,場地,
locations,場地卡,⌖,圖書館,資訊、安靜與規則感很強，適合查找線索與藏身，但聲音與破壞行為很容易被注意。,location_library,,,A,場地,
locations,場地卡,⌖,太空站,微重力、設備精密、資源封閉，任何小錯誤都可能連鎖成系統危機。,location_space_station,,,A,場地,
locations,場地卡,⌖,馬戲團,帳篷、動物、道具與表演者混雜，充滿創意解法，也充滿不可預測的變數。,location_circus,,,A,場地,
locations,場地卡,⌖,動物園,不同動物與區域設施形成天然關卡，能借助生物特性，也必須處理安全隔離。,location_zoo,,,A,場地,
locations,場地卡,⌖,大賣場,物資豐富、貨架密集、動線複雜，選擇很多但容易迷路或因爭奪資源失控。,location_hypermarket,,,A,場地,
locations,場地卡,⌖,警察局,有秩序、紀錄、拘留空間與防護裝備，適合建立規則，但也容易引發權力衝突。,location_police_station,,,A,場地,
locations,場地卡,⌖,電影攝影棚,布景、道具、燈光與假場景很多，適合製造假象與拍攝證據，但真實與虛構容易混淆。,location_film_studio,,,A,場地,
locations,場地卡,⌖,海盜船,甲板、船艙、繩索與海上限制並存，行動要考慮風浪、空間與團隊紀律。,location_pirate_ship,,,A,場地,
locations,場地卡,⌖,沙灘,視野開闊、水陸交界明顯，適合尋找漂流物與訊號，但遮蔽少、曝曬強。,location_beach,,,A,場地,
locations,場地卡,⌖,廚藝學校,食材、刀具、火源與教室設備齊全，適合資源轉換，但安全與衛生問題不能忽略。,location_culinary_school,,,A,場地,
locations,場地卡,⌖,天堂,規則可能過於美好或不合常理，適合討論願望、代價與價值選擇。,location_heaven,,,A,場地,
locations,場地卡,⌖,監獄,高牆、鎖、監控與固定作息形成強限制，逃脫、秩序與信任是主要挑戰。,location_prison,,,A,場地,
locations,場地卡,⌖,學校,教室、操場、辦公室與器材室提供多樣資源，熟悉的空間也可能暴露固定思維。,location_school,,,A,場地,
locations,場地卡,⌖,夜市,人潮、攤位、食物與聲音密集，適合交易與打聽消息，但混亂會降低判斷。,location_night_market,,,A,場地,
locations,場地卡,⌖,農場,土地、動物、工具與季節節奏明顯，適合長期生存，但短期防禦與交通較弱。,location_farm,,,A,場地,
locations,場地卡,⌖,戰場,危險、資源破碎、資訊混亂，任何行動都要在風險與目標之間取捨。,location_battlefield,,,A,場地,
locations,場地卡,⌖,育嬰室,嬰兒、照護物資與安靜需求形成特殊限制，保護弱小與降低噪音是核心任務。,location_nursery,,,A,場地,
locations,場地卡,⌖,實驗室,儀器、藥品與未知樣本很多，適合研究與驗證，也可能因誤操作造成危險。,location_laboratory,,,A,場地,
locations,場地卡,⌖,競技場,規則明確、觀眾壓力高、勝負導向強，適合設計對抗策略與臨場辯護。,location_arena,,,A,場地,
locations,場地卡,⌖,紡織廠,布料、線材、機械與流水線資源豐富，可製作防護與陷阱，但機械風險高。,location_textile_factory,,,A,場地,
locations,場地卡,⌖,公園廣場,開放、公共、可聚集，適合宣傳、協商與觀察人群，但缺乏天然防護。,location_park_square,,,A,場地,
locations,場地卡,⌖,博物館,展品、歷史資訊與保全系統並存，適合查證與解謎，但破壞代價很高。,location_museum,,,A,場地,
locations,場地卡,⌖,月球基地,低重力、氧氣與能源受限，行動要依賴設備，任何外出都需要精密計畫。,location_moon_base,,,A,場地,
locations,場地卡,⌖,罐頭工廠,食物加工、金屬容器與機械設備集中，適合補給與製作工具，但噪音和衛生風險高。,location_cannery,,,A,場地,
locations,場地卡,⌖,商業大樓,樓層、電梯、辦公設備與人際階層複雜，適合取得資訊，也容易被動線困住。,location_office_tower,,,A,場地,
