牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤
roles,職業卡,○,軍人,服從紀律、聽從指令，強壯且專業。,roles_軍人.png,🪖,,A,
roles,職業卡,○,醫生,能處理受傷、判斷感染風險，是災後隊伍的安全保障。,roles_醫生.png,🩺,,A,
roles,職業卡,○,工程師,能設計設備、基本維修、懂得找替代方案。,roles_工程師,⚙️,,A,
roles,職業卡,○,廚師,能管理食物與士氣，快速處理有限資源，提供可持續補給。,roles_廚師,👨‍🍳,,A,
roles,職業卡,○,老師,能組織學習、分配任務、穩定孩子與團隊秩序。,roles_老師,🍎,,A,
roles,職業卡,○,消防員,熟悉救援、火場與危機處理，體能和紀律都強。,roles_消防員,🚒,,A,
roles,職業卡,○,農夫,懂種植、土地與季節，農業將成為文明的前提。,roles_農夫,🌾,,A,
roles,職業卡,○,律師,擅長規則、談判與權利防守，能處理團隊衝突。,roles_律師,⚖️,,A,
roles,職業卡,○,心理師,能處理恐懼、衝突與崩潰，讓人不被壓力瓦解。,roles_心理師,🧠,,A,
roles,職業卡,○,記者,能查證、提問、蒐集訊息，為了傳播真相可以深入險境。,roles_記者,📰,,A,
roles,職業卡,○,程式設計師,能處理系統、資料與自動化，擁有良好的邏輯設計能力。,roles_程式設計師,💻,,A,
roles,職業卡,○,建築師,能設計安全空間與避難所，對於建材狀態瞭若指掌。,roles_建築師,📐,,A,
roles,職業卡,○,護理師,照護細節強，能長時間維持傷患狀態。,roles_護理師,💉,,A,
roles,職業卡,○,警察,維持秩序與風險判斷，身體素質佳也理解武器使用規範。,roles_警察,👮,,A,
roles,職業卡,○,翻譯員,跨語言溝通很關鍵，面對陌生族群或外星文明適應力強。,roles_翻譯員,🌐,,A,
roles,職業卡,○,植物學家,能辨識可食植物與毒物，對探索環境很有幫助。,roles_植物學家,🌿,,A,
roles,職業卡,○,天文學家,理解星象與宇宙環境，適合太空任務但生活技能需補強。,roles_天文學家,🔭,,A,
roles,職業卡,○,機師,操控載具與判斷天候，危機中能帶領移動。,roles_機師,✈️,,A,
roles,職業卡,○,商人,擅長交換、談判、資源配置，還有錢。,roles_商人,💼,,A,
roles,職業卡,○,藝術家,提供想像力與紀錄，創造力將可留下文明。,roles_藝術家,🎨,,A,
roles,職業卡,○,運動員,體能、毅力與競爭心強，可執行高風險任務。,roles_運動員,🏅,,A,
roles,職業卡,○,導遊,擅長帶隊、說明與安排行程，對於體力及探索很有信心。,roles_導遊,🗺️,,A,
roles,職業卡,○,科學家,能提出假設、測試未知風險，不會被神秘迷惑。,roles_科學家,🔬,,A,
roles,職業卡,○,水電工,修復基礎設施的實務能力強，就能完成基本管路。,roles_水電工,🔧,,A,
roles,職業卡,○,社工,擅長照顧弱勢、協調資源、降低內部衝突。,roles_社工,🤝,,A,
