牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤
celebrities,名人卡,★,愛因斯坦,提出相對論並改變人類理解時間與空間的物理學家,🧠,🧠,,A,科學|物理|思想
celebrities,名人卡,★,牛頓,建立運動定律與萬有引力概念的科學家,🍎,🍎,,A,科學|物理|數學
celebrities,名人卡,★,居禮夫人,研究放射性並兩度獲得諾貝爾獎的科學家,⚛️,⚛️,,A,科學|化學|女性
celebrities,名人卡,★,達文西,兼具藝術與科學想像力的文藝復興代表人物,🎨,🎨,,A,藝術|發明|文藝復興
celebrities,名人卡,★,莎士比亞,創作多部經典戲劇與詩作的英國文學家,🎭,🎭,,A,文學|戲劇|語言
celebrities,名人卡,★,莫札特,創作大量古典音樂作品的作曲家,🎼,🎼,,A,音樂|古典|創作
celebrities,名人卡,★,貝多芬,在聽力衰退後仍創作重要作品的作曲家,🎹,🎹,,A,音樂|意志|古典
celebrities,名人卡,★,孔子,影響東亞思想與教育傳統的思想家,📜,📜,,A,思想|教育|文化
celebrities,名人卡,★,甘地,以非暴力抗爭推動印度獨立運動的領袖,☮️,☮️,,A,政治|和平|社會運動
celebrities,名人卡,★,曼德拉,反對種族隔離並成為南非總統的人權領袖,🕊️,🕊️,,A,人權|政治|領導
celebrities,名人卡,★,金恩博士,推動美國民權運動並發表重要演說的牧師與領袖,✊,✊,,A,人權|演說|社會運動
celebrities,名人卡,★,林肯,領導美國南北戰爭並推動廢除奴隸制度的總統,🎩,🎩,,A,政治|歷史|領導
celebrities,名人卡,★,拿破崙,改變歐洲政治格局並擅長軍事指揮的法國領袖,👑,👑,,B,軍事|政治|歷史
celebrities,名人卡,★,亞里斯多德,古希臘哲學家，研究哲學、邏輯、倫理與自然科學，對思想影響深遠,📚,📚,,B,歷史|政治|古文明
celebrities,名人卡,★,特蕾莎修女,長期照顧貧困與弱勢者的慈善工作者,❤️,❤️,,B,慈善|宗教|服務
celebrities,名人卡,★,愛迪生,推動電燈與留聲機等發明商業化的發明家,💡,💡,,A,發明|科技|商業
celebrities,名人卡,★,賈伯斯,推動個人電腦與智慧型手機設計風格的企業家,📱,📱,,A,科技|設計|商業
celebrities,名人卡,★,比爾蓋茲,共同創辦微軟並投入公共衛生慈善工作的企業家,💻,💻,,A,科技|商業|慈善
celebrities,名人卡,★,馬拉拉,倡議女性教育權並獲得諾貝爾和平獎的行動者,📖,📖,,B,教育|人權|青年
celebrities,名人卡,★,梅西,以控球與進攻能力聞名的足球員,⚽,⚽,,A,運動|足球|團隊
celebrities,名人卡,★,麥可喬丹,帶領芝加哥公牛多次奪冠的籃球員,🏀,🏀,,A,運動|籃球|競爭
celebrities,名人卡,★,大谷翔平,兼具投球與打擊能力的棒球員,⚾,⚾,,B,運動|棒球|突破
celebrities,名人卡,★,泰勒絲,以詞曲創作與巡演影響力聞名的流行音樂人,🎤,🎤,,B,音樂|流行|創作
celebrities,名人卡,★,宮崎駿,創作多部動畫電影並建立獨特想像世界的導演,🐉,🐉,,A,動畫|電影|創作
celebrities,名人卡,★,李安,以跨文化電影作品獲得國際肯定的導演,🎬,🎬,,B,電影|台灣|文化
celebrities,名人卡,★,秦始皇,中國首位完成統一的皇帝，建立中央集權制度，推動多項制度改革,🏯,🏯,,B,科技|台灣|產業
celebrities,名人卡,★,珍古德,長期研究黑猩猩並推動保育教育的動物行為學家,🦍,🦍,,B,科學|保育|動物
celebrities,名人卡,★,梵谷,荷蘭後印象派畫家，創作風格鮮明，作品對現代藝術影響深遠,🌻,🌻,,B,教育|生命|倡議
celebrities,名人卡,★,達爾文,提出演化論並影響現代生物學的自然學家,🐒,🐒,,A,科學|生物|演化
celebrities,名人卡,★,霍金,研究黑洞與宇宙並向大眾推廣科學的物理學家,🌌,🌌,,A,科學|宇宙|知識
