牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤,三階段挑戰
missions,任務卡,◇,賺大錢,在現實世界合法賺到大量金錢，必須說清楚商業模式、客戶、成本與風險。,💰,💰,missions_01.png,A,財富|商業|現實,起步階段：選定合法商業模式與第一個客戶|成長階段：控制成本並建立穩定收入|長期階段：擴大規模且承擔法律與社會責任
missions,任務卡,◇,開公司做產品,成立一間能活下來的公司，並做出一個有人願意使用或購買的產品；必須決定痛點、客戶、團隊、成本與第一批訂單。,🏢,🏢,missions_02.png,A,創業|產品|商業,起步階段：找出痛點並做出最小可用產品|成長階段：取得第一批使用者與訂單|長期階段：建立能持續成長的團隊與商業模式
missions,任務卡,◇,拍電影,完成一部能被觀眾看見的電影，必須處理劇本、資金、演員、宣傳與審查。,🎬,🎬,missions_03.png,B,創作|媒體|合作,起步階段：完成劇本、預算與核心團隊|製作階段：在限制內完成拍攝與剪輯|長期階段：公開作品並面對市場、評價與版權問題
missions,任務卡,◇,上學,進入學校並完成一段學習任務，必須面對規範、人際、作業與考試。,🎒,🎒,missions_04.png,C,學習|日常|適應,起步階段：選定學習目標並適應校園規範|成長階段：完成作業、考試與一項合作任務|長期階段：把所學轉化為能力並找到自己的方向
missions,任務卡,◇,治理城市,讓一座城市變得更安全、有效率且讓居民願意支持，必須處理交通、治安、預算與民意。,🏛️,🏛️,missions_05.png,A,治理|公共|民意,起步階段：盤點城市問題與可用預算|治理階段：推動一項政策並取得居民支持|長期階段：建立公平、有效率且能應對危機的城市系統
missions,任務卡,◇,當網紅,在網路上建立影響力，必須決定人設、內容節奏、平台規則與公眾壓力。,📱,📱,missions_06-v2.png,B,媒體|影響力|形象,起步階段：確定人設、主題與第一批內容|成長階段：建立穩定發布節奏並回應批評|長期階段：維持信任、收入與心理健康
missions,任務卡,◇,救一間學校,讓一間混亂或快倒閉的學校重新運作，必須處理學生、老師、家長與資源。,🏫,🏫,missions_07.png,B,教育|組織|修復,起步階段：找出學校最急迫的問題|修復階段：協調學生、老師、家長與資源|長期階段：建立能自行運作且持續改善的制度
missions,任務卡,◇,贏得選舉,取得足夠選票與信任，必須提出政見、建立形象、回應攻擊並組織支持者。,🗳️,🗳️,missions_08.png,A,政治|說服|信任,起步階段：提出清楚政見並組織支持者|競選階段：回應攻擊、辨識假訊息並爭取中間選民|長期階段：勝選後兌現承諾並接受公共監督
missions,任務卡,◇,經營餐廳,讓餐廳穩定賺錢並被顧客喜歡，必須做出招牌料理，處理菜單、衛生、服務、租金與口碑。,🍽️,🍽️,missions_09.png,C,服務|經營|口碑,起步階段：確定菜單、客群與啟動成本|經營階段：穩定品質、衛生與服務流程|長期階段：在競爭中保有口碑並實現獲利
missions,任務卡,◇,成立社團,讓一群人願意固定參加，必須設計活動、分工、招募與共同目標。,🤝,🤝,missions_10.png,C,群體|組織|參與,起步階段：找到共同興趣與核心成員|成長階段：辦出固定活動並清楚分工|長期階段：培養接班人並讓社團持續吸引新成員
missions,任務卡,◇,修復名聲,從被懷疑或討厭的狀態重新取得信任，必須面對錯誤、證據、道歉與行動。,🪞,🪞,missions_11.png,B,信任|形象|危機,起步階段：釐清錯誤、證據與受影響的人|修復階段：公開道歉並用行動補救|長期階段：持續透明溝通直到信任重新建立
missions,任務卡,◇,隱居現代城市,在高度監控、人口密集、消費便利的現代化城市中低調生活，必須處理住所、金錢、身分、網路足跡與鄰居注意。,🏙️,🏙️,missions_12.png,B,城市|隱居|身分,起步階段：安排住所、收入與安全身分|適應階段：降低網路足跡並建立日常支持|長期階段：在不傷害他人的前提下維持自由與穩定
missions,任務卡,◇,找產品代言,替一個產品找到合適代言方式，必須判斷品牌形象、目標客群、可信度、曝光管道與翻車風險。,📣,📣,missions_13.png,B,行銷|品牌|信任,起步階段：定義品牌形象與目標客群|評估階段：比較代言人的可信度、曝光與風險|長期階段：管理合作成效並處理可能的翻車
missions,任務卡,◇,參加運動,加入一項現代運動並取得成績或人氣，必須處理規則、訓練、隊友、裁判與公平競爭。,🏅,🏅,missions_14.png,C,運動|規則|競爭,起步階段：選定運動、規則與訓練計畫|競賽階段：與隊友合作並公平面對對手|長期階段：在成績、健康與人氣之間取得平衡
missions,任務卡,◇,寫一本書,完成一本能被讀者理解並願意閱讀的書，必須決定主題、讀者、章節、寫作節奏與出版方式。,📚,📚,missions_15.png,B,創作|表達|出版,起步階段：確定主題、讀者與章節架構|寫作階段：完成初稿並接受可靠的回饋|長期階段：出版作品並持續與讀者對話
missions,任務卡,◇,幫助他人,真正改善某個人的處境，必須先判斷對方需要什麼，再處理資源、方法、尊重與長期效果。,🫶,🫶,missions_16.png,C,助人|需求|責任,起步階段：理解對方真正的需要與界線|行動階段：連結資源並共同執行可行方案|長期階段：確認幫助有效且不造成依賴或傷害
missions,任務卡,◇,尋找夥伴,找到願意一起行動的可靠夥伴，必須說清楚要去哪裡找、如何開口、如何篩選，以及如何建立信任。,🧭,🧭,missions_17.png,B,合作|招募|信任,起步階段：明確說出目標與需要的夥伴|磨合階段：篩選能力、價值觀與可靠程度|長期階段：建立分工、信任與共同承擔機制
missions,任務卡,◇,跟人類談判,和現代人類談判取得合作、資源或通行權，必須理解對方利益、恐懼、規則與可以交換的籌碼。,🤝,🤝,missions_18.png,A,談判|人類|合作,起步階段：釐清利益、恐懼與談判底線|協商階段：提出可交換的籌碼並建立信任|長期階段：簽下可執行的協議並維持合作關係
