牌組ID,牌組名稱,牌組圖示,卡牌名稱,說明,卡牌圖示,抽選池圖示,圖片,稀有度,標籤
relations,關係卡,→,就是,A 可以被理解成 C，兩者在某個角度上幾乎等同。,=,=,,C,等同|本質|比喻
relations,關係卡,→,等於,A 與 C 在某個定義或脈絡下可以視為相同。,=,=,,C,等同|本質|定義
relations,關係卡,→,導致,A 會引發、造成或把事情推向 C。,⇒,⇒,,C,因果|結果|推動
relations,關係卡,→,來自,A 的來源、基礎或前提可以追溯到 C。,←,←,,C,來源|因果|前提
relations,關係卡,→,促進,A 讓 C 變得更快、更強或更容易形成。,↗,↗,,C,增強|因果|推進
relations,關係卡,→,勝於,A 在某個標準下比 C 更值得優先考慮。,>,>,,A,比較|優先|標準
relations,關係卡,→,不如,A 在某個標準下比 C 更不值得優先考慮。,<,<,,A,比較|取捨|標準
relations,關係卡,→,定義,A 決定了 C 的核心邊界或真正意義。,⌁,⌁,,B,定義|邊界|判準
relations,關係卡,→,代表,A 可以作為 C 的典型象徵或具體呈現。,◈,◈,,B,定義|象徵|意義
relations,關係卡,→,幫助,A 會支持、推動或讓 C 更容易發生。,＋,＋,,A,功能|支持|推動
relations,關係卡,→,補足,A 彌補 C 的不足，讓整體更完整。,⊕,⊕,,C,功能|互補|完整
relations,關係卡,→,支持,A 提供 C 所需要的力量、資源或依靠。,▲,▲,,C,功能|支援|力量
relations,關係卡,→,阻礙,A 讓 C 更難實現或發展。,⊥,⊥,,C,對立|阻止|衝突
relations,關係卡,→,削弱,A 讓 C 的效果、力量或影響降低。,↘,↘,,C,對立|減弱|影響
relations,關係卡,→,破壞,A 直接損害或瓦解 C。,✕,✕,,C,對立|破壞|衝突
relations,關係卡,→,需要,A 的成立必須依靠 C。,✓,✓,,C,條件|前提|依賴
relations,關係卡,→,依賴,A 長期仰賴 C 才能存在或運作。,⛓,⛓,,A,條件|依存|前提
relations,關係卡,→,就像,A 與 C 在某些特質上十分相似。,≈,≈,,人生,象徵|相似|隱喻
relations,關係卡,→,象徵,A 能代表或喚起 C 的意涵。,★,★,,B,象徵|意涵|代表
relations,關係卡,→,映照,A 能反映出 C 的本質或狀態。,◐,◐,,B,象徵|反映|隱喻
relations,關係卡,→,改變,描述A如何讓C產生轉變或演化。,↜,↜,,A,變化
